v320-024.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Tue Sep  9 18:55:10 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/09/2025 07:13:40 PM | INFO  |  working on shotid: 20230918025
Fibers | 09/09/2025 07:14:07 PM | INFO  |  Total fibers: 102368
Fibers | 09/09/2025 07:14:09 PM | INFO  |  Good fibers: 96525, Fraction of good pixels 0.9716569716569716
Fibers | 09/09/2025 07:14:15 PM | INFO  |   Remaining fraction after removing continuum sources 0.5418078218078218 
Fibers | 09/09/2025 07:14:16 PM | INFO  |  progress 31/808
Fibers | 09/09/2025 07:14:16 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/09/2025 07:14:17 PM | INFO  |  working on shotid: 20230918026
Fibers | 09/09/2025 07:14:40 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:14:42 PM | INFO  |  Good fibers: 96814, Fraction of good pixels 0.9716234122621629
Fibers | 09/09/2025 07:14:48 PM | INFO  |   Remaining fraction after removing continuum sources 0.6272956390604665 
Fibers | 09/09/2025 07:14:50 PM | INFO  |  working on shotid: 20230918027
Fibers | 09/09/2025 07:15:16 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:15:17 PM | INFO  |  Good fibers: 97194, Fraction of good pixels 0.9716037117342754
Fibers | 09/09/2025 07:15:24 PM | INFO  |   Remaining fraction after removing continuum sources 0.5671131962878367 
Fibers | 09/09/2025 07:15:25 PM | INFO  |  working on shotid: 20230918028
Fibers | 09/09/2025 07:15:52 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:15:53 PM | INFO  |  Good fibers: 97530, Fraction of good pixels 0.9715314800673152
Fibers | 09/09/2025 07:16:00 PM | INFO  |   Remaining fraction after removing continuum sources 0.5600635701835333 
Fibers | 09/09/2025 07:16:01 PM | INFO  |  working on shotid: 20230919006
Fibers | 09/09/2025 07:16:28 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:16:30 PM | INFO  |  Good fibers: 99543, Fraction of good pixels 0.9717115422112258
Fibers | 09/09/2025 07:16:36 PM | INFO  |   Remaining fraction after removing continuum sources 0.4715851441085762 
Fibers | 09/09/2025 07:16:38 PM | INFO  |  working on shotid: 20230919008
Fibers | 09/09/2025 07:17:05 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:17:07 PM | INFO  |  Good fibers: 97194, Fraction of good pixels 0.9709452745982778
Fibers | 09/09/2025 07:17:13 PM | INFO  |   Remaining fraction after removing continuum sources 0.555785336543408 
Fibers | 09/09/2025 07:17:15 PM | INFO  |  working on shotid: 20230919009
Fibers | 09/09/2025 07:17:38 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:17:40 PM | INFO  |  Good fibers: 96522, Fraction of good pixels 0.9713543410472608
Fibers | 09/09/2025 07:17:46 PM | INFO  |   Remaining fraction after removing continuum sources 0.5296098298833427 
Fibers | 09/09/2025 07:17:48 PM | INFO  |  working on shotid: 20230919010
Fibers | 09/09/2025 07:18:11 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:18:13 PM | INFO  |  Good fibers: 99543, Fraction of good pixels 0.9714470710296634
Fibers | 09/09/2025 07:18:20 PM | INFO  |   Remaining fraction after removing continuum sources 0.6148096802386909 
Fibers | 09/09/2025 07:18:21 PM | INFO  |  working on shotid: 20230919011
Fibers | 09/09/2025 07:18:55 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:18:56 PM | INFO  |  Good fibers: 97866, Fraction of good pixels 0.9716076595789673
Fibers | 09/09/2025 07:19:02 PM | INFO  |   Remaining fraction after removing continuum sources 0.6453824617333905 
Fibers | 09/09/2025 07:19:04 PM | INFO  |  working on shotid: 20230919012
Fibers | 09/09/2025 07:19:30 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:19:31 PM | INFO  |  Good fibers: 97533, Fraction of good pixels 0.9712182357287091
Fibers | 09/09/2025 07:19:38 PM | INFO  |   Remaining fraction after removing continuum sources 0.6144381901510259 
Fibers | 09/09/2025 07:19:40 PM | INFO  |  working on shotid: 20230919013
Fibers | 09/09/2025 07:20:05 PM | INFO  |  Total fibers: 102816
Fibers | 09/09/2025 07:20:06 PM | INFO  |  Good fibers: 98874, Fraction of good pixels 0.971550810778009
Fibers | 09/09/2025 07:20:13 PM | INFO  |   Remaining fraction after removing continuum sources 0.6270505896393389 
Fibers | 09/09/2025 07:20:14 PM | INFO  |  progress 41/808
Fibers | 09/09/2025 07:20:14 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/09/2025 07:20:15 PM | INFO  |  working on shotid: 20230920016
Fibers | 09/09/2025 07:20:42 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:20:43 PM | INFO  |  Good fibers: 95666, Fraction of good pixels 0.9716156121357551
Fibers | 09/09/2025 07:20:50 PM | INFO  |   Remaining fraction after removing continuum sources 0.5299374908535948 
Fibers | 09/09/2025 07:20:51 PM | INFO  |  working on shotid: 20230920017
Fibers | 09/09/2025 07:21:16 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:21:17 PM | INFO  |  Good fibers: 95396, Fraction of good pixels 0.9715818099267091
Fibers | 09/09/2025 07:21:23 PM | INFO  |   Remaining fraction after removing continuum sources 0.4471047004067257 
Fibers | 09/09/2025 07:21:24 PM | INFO  |  working on shotid: 20230920018
Fibers | 09/09/2025 07:21:52 PM | INFO  |  Total fibers: 104048
Fibers | 09/09/2025 07:21:54 PM | INFO  |  Good fibers: 95270, Fraction of good pixels 0.9715774674943354
Fibers | 09/09/2025 07:22:00 PM | INFO  |   Remaining fraction after removing continuum sources 0.5034008607116616 
Fibers | 09/09/2025 07:22:02 PM | INFO  |  working on shotid: 20230920019
Fibers | 09/09/2025 07:22:30 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:22:31 PM | INFO  |  Good fibers: 99879, Fraction of good pixels 0.9716861842984451
Fibers | 09/09/2025 07:22:38 PM | INFO  |   Remaining fraction after removing continuum sources 0.5824747945013466 
Fibers | 09/09/2025 07:22:40 PM | INFO  |  working on shotid: 20230920020
Fibers | 09/09/2025 07:23:06 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:23:08 PM | INFO  |  Good fibers: 99879, Fraction of good pixels 0.9715491748877145
Fibers | 09/09/2025 07:23:15 PM | INFO  |   Remaining fraction after removing continuum sources 0.6120806175472322 
Fibers | 09/09/2025 07:23:16 PM | INFO  |  working on shotid: 20230920021
Fibers | 09/09/2025 07:23:42 PM | INFO  |  Total fibers: 104160
